"location","population","highest_inf_count","infection_rate"
"Andorra","77265",14836,"0.1920145"
"Seychelles","98340",18582,"0.18895668"
"Montenegro","628062",103722,"0.16514611"
"Bahrain","1701583",270060,"0.15871103"
"Czechia","10708982",1674906,"0.15640198"
"San Marino","33938",5147,"0.15165891"
"Maldives","540542",78356,"0.14495821"
"Slovenia","2078932",260109,"0.12511665"
"Cyprus","888005",105982,"0.11934843"
"Luxembourg","625976",74262,"0.11863394"
"Georgia","3989175",447913,"0.11228211"
"Netherlands","17134873",1917056,"0.11188038"
"Argentina","45195777",5018895,"0.11104787"
"Uruguay","3473727",382506,"0.11011401"
"Sweden","10099270",1104538,"0.1093681"
"United States","331002647",35763785,"0.10804682"
"Serbia","6804596",725702,"0.1066488"
"Lithuania","2722291",286103,"0.10509641"
"Israel","8655541",900482,"0.104035325"
"Panama","4314768",442295,"0.10250725"
"Estonia","1326539",135076,"0.10182588"
"Spain","46754783",4588132,"0.09813182"
"Belgium","11589616",1136726,"0.09808142"
"Portugal","10196707",986967,"0.09679272"
"Colombia","50882884",4838984,"0.095100425"
"Brazil","212559409",20165672,"0.09487075"
"Kuwait","4270563",403349,"0.09444867"
"France","67564251",6371349,"0.09430059"
"United Kingdom","67886004",6098117,"0.08982878"
"Croatia","4105268",365045,"0.088921115"
"Chile","19116209",1623363,"0.08492076"
"Hungary","9660350",809855,"0.08383288"
"Lebanon","6825442",571650,"0.08375282"
"Switzerland","8654618",723968,"0.083651066"
"Costa Rica","5094114",416677,"0.081795774"
"Liechtenstein","38137",3101,"0.08131211"
"Qatar","2881060",227689,"0.07902959"
"Malta","441539",34846,"0.07891942"
"Armenia","2963234",232157,"0.07834582"
"Poland","37846605",2884098,"0.07620493"
"Jordan","10203140",777164,"0.0761691"
"North Macedonia","2083380",158025,"0.0758503"
"Monaco","39244",2974,"0.075782284"
"Latvia","1886202",139421,"0.073916264"
"Austria","9006400",663082,"0.073623426"
"Italy","60461828",4396417,"0.07271393"
"Slovakia","5459643",393040,"0.07199006"
"United Arab Emirates","9890400",692964,"0.070064306"
"Turkey","84339067",5895841,"0.069906406"
"Moldova","4033963",260630,"0.064608924"
"Peru","32971846",2125345,"0.06445939"
"Paraguay","7132530",455120,"0.06380905"
"Ireland","4937796",312465,"0.063280255"
"Bosnia and Herzegovina","3280815",206106,"0.06282158"
"Palestine","5101416",317999,"0.06233544"
"Bulgaria","6948445",428049,"0.06160357"
"Cape Verde","555988",34052,"0.061245926"
"Oman","5106622",298706,"0.058493853"
"Kosovo","1932774",109931,"0.05687732"
"Romania","19237682",1084919,"0.056395516"
"Denmark","5792203",324948,"0.056100935"
"Ukraine","43733759",2344260,"0.053602986"
"Mongolia","3278292",174603,"0.053260356"
"Botswana","2351625",122574,"0.052123107"
"Tunisia","11818618",610660,"0.051669322"
"Iran","83992953",4158729,"0.049512833"
"Greece","10423056",514192,"0.04933217"
"Belarus","9449321",453932,"0.048038583"
"Namibia","2540916",121043,"0.047637545"
"Albania","2877800",133912,"0.04653277"
"Germany","83783945",3797849,"0.04532908"
"Suriname","586634",26002,"0.04432406"
"Russia","145934460",6362641,"0.043599304"
"South Africa","59308690",2533466,"0.042716607"
"Iraq","40222503",1712709,"0.042580865"
"Fiji","896444",36979,"0.041250765"
"Bolivia","11673029",477696,"0.040923055"
"Cuba","11326616",458219,"0.040455066"
"Bahamas","393248",15537,"0.03950942"
"Malaysia","32365998",1262540,"0.039008223"
"Libya","6871287",267846,"0.03898047"
"Canada","37742157",1446497,"0.038325764"
"Kazakhstan","18776707",705327,"0.037563935"
"Belize","397621",14438,"0.03631096"
"Azerbaijan","10139175",351825,"0.03469957"
"Vatican","809",27,"0.033374537"
"Saint Lucia","183629",5837,"0.03178692"
"Dominican Republic","10847904",344495,"0.031756826"
"Honduras","9904608",305936,"0.03088825"
"Guyana","786559",22982,"0.029218405"
"Trinidad and Tobago","1399491",40233,"0.02874831"
"Ecuador","17643060",491831,"0.02787674"
"Eswatini","1160164",31060,"0.026772076"
"Norway","5421242",140836,"0.025978548"
"Kyrgyzstan","6524191",169017,"0.0259062"
"Iceland","341250",8793,"0.025767032"
"Nepal","29136808",714877,"0.024535187"
"India","1380004385",31969954,"0.02316656"
"Mexico","128932753",2971817,"0.023049356"
"Guatemala","17915567",390514,"0.021797469"
"Saint Vincent and the Grenadines","110947",2299,"0.020721605"
"Finland","5540718",112207,"0.020251347"
"Morocco","36910558",696282,"0.018864034"
"Jamaica","2961161",54859,"0.01852618"
"Barbados","287371",4471,"0.015558286"
"Sri Lanka","21413250",329994,"0.015410739"
"Saudi Arabia","34813867",531935,"0.0152794"
"Philippines","109581085",1658916,"0.015138707"
"Antigua and Barbuda","97928",1338,"0.013663099"
"El Salvador","6486201",88371,"0.013624462"
"Indonesia","273523621",3666031,"0.013402978"
"Djibouti","988002",11662,"0.01180362"
"Saint Kitts and Nevis","53192",614,"0.0115430895"
"Gabon","2225728",25462,"0.011439852"
"Sao Tome and Principe","219161",2470,"0.011270253"
"Singapore","5850343",65764,"0.01124105"
"Venezuela","28435943",312115,"0.010976073"
"Zambia","18383956",200049,"0.010881716"
"Thailand","69799978",756505,"0.010838184"
"Timor","1318442",11529,"0.008744412"
"Bangladesh","164689383",1353695,"0.008219686"
"Japan","126476458",1032080,"0.008160254"
"Zimbabwe","14862927",116327,"0.007826655"
"Equatorial Guinea","1402985",8951,"0.0063799685"
"Lesotho","2142252",13603,"0.0063498598"
"Mauritania","4649660",28197,"0.0060643144"
"Myanmar","54409794",329516,"0.006056189"
"Rwanda","12952209",76091,"0.0058747507"
"Dominica","71991",367,"0.0050978595"
"Cambodia","16718971",81891,"0.0048980885"
"Pakistan","220892331",1071620,"0.0048513226"
"Comoros","869595",4031,"0.0046354914"
"Mozambique","31255435",132452,"0.004237727"
"South Korea","51269183",212448,"0.004143776"
"Algeria","43851043",181376,"0.004136184"
"Uzbekistan","33469199",136635,"0.00408241"
"Senegal","16743930",67579,"0.00403603"
"Kenya","53771300",211828,"0.003939425"
"Afghanistan","38928341",149810,"0.0038483532"
"Mauritius","1271767",4592,"0.0036107244"
"Gambia","2416664",8603,"0.003559866"
"Ghana","31072945",108226,"0.0034829658"
"Bhutan","771612",2544,"0.003296994"
"Cameroon","26545864",82064,"0.0030914044"
"Malawi","19129955",55920,"0.0029231643"
"Egypt","102334403",284706,"0.0027821143"
"Ethiopia","114963583",284091,"0.002471139"
"Guinea-Bissau","1967998",4788,"0.0024329294"
